"nr_ind","suma_przeskalowana"
"67299","38.33"
"67397","35.00"
"67529","35.00"
"67564","28.33"
"67646","47.50"
"67742","37.50"
"67744","8.33"
"67815","30.83"
"67827","50.00"
"67828","38.33"
"67885","37.50"
"68016","31.67"
"68022","40.83"
"68115","21.67"
"68121","23.33"
"68157","36.67"
"68274","30.83"
"68288","6.67"
"68331","50.00"
"68352","39.17"
"68418","5.83"
"68421","9.17"
"68423","41.67"
"68424","49.17"
"68501","30.00"
"68515","25.00"
"68570","46.67"
"68715","30.83"
"68727","30.00"
"68734","38.33"
"72218","34.17"
"72335","16.67"
"72565","45.00"
"72609","23.33"
"72722","8.33"
"72843","39.17"
"72892","40.83"
"72902","11.67"
"73004","49.17"
"73274","50.00"
